Local matrix size       = 1.9353 GiBs
Total device memory use = 2.2493 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0.9% | 000000384 |    0.0217260  |          | 5.124e+04|          |            |            |  2.151e-02 | 0.000e+00 |   2.115e-05  |  7.115e+04  |    4.825e+04   
  1.7% | 000000768 |    0.0043435  |          | 4.877e+04|          |            |            |  3.886e-03 | 0.000e+00 |   1.971e-05  |  3.498e+05  |    8.423e+04   
  2.6% | 000001152 |    0.0080051  |          | 5.242e+04|          |            |            |  7.816e-03 | 0.000e+00 |   1.753e-05  |  1.865e+05  |    1.027e+05   
  3.4% | 000001536 |    0.0109979  |          | 5.250e+04|          |            |            |  1.082e-02 | 0.000e+00 |   1.958e-05  |  1.334e+05  |    1.088e+05   
  4.3% | 000001920 |    0.0112324  |          | 5.121e+04|          |            |            |  1.105e-02 | 0.000e+00 |   1.865e-05  |  1.284e+05  |    1.120e+05   
  5.1% | 000002304 |    0.0112204  |          | 5.004e+04|          |            |            |  1.087e-02 | 0.000e+00 |   1.853e-05  |  1.262e+05  |    1.141e+05   
  6.0% | 000002688 |    0.0108438  |          | 5.322e+04|          |            |            |  1.066e-02 | 0.000e+00 |   1.923e-05  |  1.283e+05  |    1.158e+05   
  6.8% | 000003072 |    0.0113139  | 5.243e+04| 5.251e+04|          |  7.353e-03 |  1.754e-04 |  3.026e-03 | 0.000e+00 |   1.425e-05  |  1.207e+05  |    1.164e+05   
  7.7% | 000003456 |    0.0497183  |          | 5.150e+04|          |            |            |  4.942e-02 | 0.000e+00 |   1.988e-05  |  2.698e+04  |    8.668e+04   
  8.5% | 000003840 |    0.0119371  |          | 3.890e+04|          |            |            |  1.170e-02 | 0.000e+00 |   1.863e-05  |  1.103e+05  |    8.842e+04   
  9.4% | 000004224 |    0.0043561  |          | 3.807e+04|          |            |            |  4.015e-03 | 0.000e+00 |   1.395e-04  |  2.967e+05  |    9.388e+04   
 10.2% | 000004608 |    0.0221652  |          | 5.053e+04|          |            |            |  1.867e-02 | 0.000e+00 |   2.263e-05  |  5.723e+04  |    8.956e+04   
 11.1% | 000004992 |    0.0090945  |          | 4.848e+04|          |            |            |  8.497e-03 | 0.000e+00 |   2.081e-05  |  1.368e+05  |    9.174e+04   
 11.9% | 000005376 |    0.0032036  |          | 5.138e+04|          |            |            |  2.868e-03 | 0.000e+00 |   1.301e-04  |  3.811e+05  |    9.635e+04   
 12.8% | 000005760 |    0.0107614  |          | 5.056e+04|          |            |            |  1.057e-02 | 0.000e+00 |   1.974e-05  |  1.113e+05  |    9.711e+04   
 13.6% | 000006144 |    0.0108196  | 4.914e+04| 5.362e+04|          |  7.173e-03 |  1.772e-04 |  2.779e-03 | 0.000e+00 |   6.977e-05  |  1.085e+05  |    9.767e+04   
 14.5% | 000006528 |    0.0111498  |          | 5.285e+04|          |            |            |  1.085e-02 | 0.000e+00 |   1.918e-05  |  1.033e+05  |    9.793e+04   
 15.3% | 000006912 |    0.0140536  |          | 3.756e+04|          |            |            |  1.382e-02 | 0.000e+00 |   1.990e-05  |  8.031e+04  |    9.693e+04   
 16.2% | 000007296 |    0.0101376  |          | 5.245e+04|          |            |            |  9.908e-03 | 0.000e+00 |   1.941e-05  |  1.091e+05  |    9.740e+04   
 17.0% | 000007680 |    0.0107828  |          | 5.215e+04|          |            |            |  1.055e-02 | 0.000e+00 |   1.908e-05  |  1.005e+05  |    9.753e+04   
 17.9% | 000008064 |    0.0104754  |          | 5.223e+04|          |            |            |  1.026e-02 | 0.000e+00 |   1.719e-05  |  1.014e+05  |    9.767e+04   
 18.8% | 000008448 |    0.0106222  |          | 5.219e+04|          |            |            |  1.040e-02 | 0.000e+00 |   1.938e-05  |  9.791e+04  |    9.768e+04   
 19.6% | 000008832 |    0.0113474  |          | 5.351e+04|          |            |            |  1.109e-02 | 0.000e+00 |   2.036e-05  |  8.975e+04  |    9.738e+04   
 20.5% | 000009216 |    0.0115316  | 4.040e+04| 3.567e+04|          |  7.077e-03 |  1.717e-04 |  3.603e-03 | 0.000e+00 |   1.808e-05  |  8.647e+04  |    9.697e+04   
 21.3% | 000009600 |    0.0117720  |          | 5.451e+04|          |            |            |  1.150e-02 | 0.000e+00 |   1.910e-05  |  8.290e+04  |    9.646e+04   
 22.2% | 000009984 |    0.0277761  |          | 5.438e+04|          |            |            |  2.755e-02 | 0.000e+00 |   1.779e-05  |  3.438e+04  |    9.156e+04   
 23.0% | 000010368 |    0.0070352  |          | 5.347e+04|          |            |            |  6.828e-03 | 0.000e+00 |   1.905e-05  |  1.328e+05  |    9.236e+04   
 23.9% | 000010752 |    0.0110716  |          | 5.388e+04|          |            |            |  1.089e-02 | 0.000e+00 |   1.752e-05  |  8.254e+04  |    9.207e+04   
 24.7% | 000011136 |    0.0108164  |          | 5.354e+04|          |            |            |  1.058e-02 | 0.000e+00 |   1.922e-05  |  8.262e+04  |    9.180e+04   
 25.6% | 000011520 |    0.0103965  |          | 5.364e+04|          |            |            |  1.014e-02 | 0.000e+00 |   1.864e-05  |  8.403e+04  |    9.159e+04   
 26.4% | 000011904 |    0.0098505  |          | 5.424e+04|          |            |            |  9.600e-03 | 0.000e+00 |   1.831e-05  |  8.668e+04  |    9.147e+04   
 27.3% | 000012288 |    0.0101049  | 4.293e+04| 5.555e+04|          |  6.930e-03 |  1.708e-04 |  2.325e-03 | 0.000e+00 |   6.584e-05  |  8.257e+04  |    9.125e+04   
 28.1% | 000012672 |    0.0102155  |          | 5.257e+04|          |            |            |  9.913e-03 | 0.000e+00 |   1.895e-05  |  7.978e+04  |    9.097e+04   
 29.0% | 000013056 |    0.0097410  |          | 5.419e+04|          |            |            |  9.552e-03 | 0.000e+00 |   1.935e-05  |  8.171e+04  |    9.076e+04   
 29.8% | 000013440 |    0.0100424  |          | 5.433e+04|          |            |            |  9.855e-03 | 0.000e+00 |   1.924e-05  |  7.737e+04  |    9.045e+04   
 30.7% | 000013824 |    0.0100994  |          | 5.356e+04|          |            |            |  9.869e-03 | 0.000e+00 |   1.731e-05  |  7.509e+04  |    9.011e+04   
